Accepted Symbol,Synonym Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Family,Duration,Native Status,Active Growth Period,Fire Resistance,Bloom Period
PTTRM,,Ptelea trifoliata ssp. trifoliata var. mollis,NA (L48),"USA(AR, DC, FL, GA, IL, IN, LA, MI, MO, MS, NC, SC, TX, VA, WV)",Rutaceae,Perennial,L48(N),,,
PTERI,,Pteridium,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA+(PR), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dennstaedtiaceae,,L48(N)CAN(N)SPM(N),,,
PTAQP,,Pteridium aquilinum var. pseudocaudatum,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WV)",Dennstaedtiaceae,Perennial,L48(N),,,
PTERI2,,Pteris,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, CA, DC, FL, GA, HI, IL, IN, KY, LA, MD, MS, NAV, NC, NY, PW, SC, TX, VA)",Pteridaceae,,"L48(I,N)",,,
PTILI,,Ptilimnium,NA (L48),"USA+(PR), USA(AL, AR, CT, DC, DE, FL, GA, IL, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OK, PA, RI, SC, SD, TN, TX, VA, WV)",Apiaceae,,L48(N),,,
PTCO,,Ptilimnium costatum,NA (L48),"USA(AL, AR, GA, IL, KY, LA, MO, NC, OK, TN, TX)",Apiaceae,Annual,L48(N),,,
PTNU,,Ptilimnium nuttallii,NA (L48),"USA(AL, AR, IL, KS, KY, LA, MO, MS, OK, TN, TX)",Apiaceae,Annual,L48(N),,,
PUCCI,,Puccinellia,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY)",Poaceae,,"L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)",,,
PULSA,,Pulsatilla,NA (L48),"CAN(AB, BC, MB, NT, ON, SK, YT), USA(AK, CA, CO, IA, ID, IL, KS, MI, MN, MT, ND, NE, NM, OR, SD, TX, UT, WA, WI, WY)",Ranunculaceae,,L48(N)CAN(N),,,
PYCNA,,Pycnanthemum,NA (L48),"CAN(NB, ON, QC), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)",Lamiaceae,,L48(N)CAN(N),,,
PYAL,,Pycnanthemum albescens,NA (L48),"USA(AL, AR, FL, GA, IL, KS, KY, LA, MO, MS, OK, TX)",Lamiaceae,Perennial,L48(N),,,
PYLO,,Pycnanthemum loomisii,NA (L48),"USA(AL, DE, FL, GA, IL, KY, NC, NJ, SC, TN, VA, WV)",Lamiaceae,Perennial,L48(N),,,
PYMU,,Pycnanthemum muticum,NA (L48),"USA(AL, AR, CT, DC, DE, GA, IL, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WV)",Lamiaceae,Perennial,L48(N),,,
PYPY,,Pycnanthemum pycnanthemoides,NA (L48),"USA(AL, FL, GA, IL, IN, KY, MD, NC, OH, SC, TN, VA, WV)",Lamiaceae,Perennial,L48(N),,,
PYPYP,,Pycnanthemum pycnanthemoides var. pycnanthemoides,NA (L48),"USA(AL, FL, GA, IL, IN, KY, MD, NC, OH, SC, TN, VA, WV)",Lamiaceae,Perennial,L48(N),,,
PYTO,,Pycnanthemum torrei,NA (L48),"USA(AR, CT, DC, DE, GA, IL, IN, KS, KY, MD, MO, NC, NH, NJ, NY, PA, SC, TN, VA, WV)",Lamiaceae,Perennial,L48(N),,,
PYROL,,Pyrola,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Pyrolaceae,,L48(N)CAN(N)GL(N)SPM(N),,,
PYRRH,,Pyrrhopappus,NA (L48),"USA(AL, AR, AZ, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NM, OK, PA, SC, TN, TX, VA, WV)",Asteraceae,,L48(N),,,
PYCA2,,Pyrrhopappus carolinianus,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, OK, PA, SC, TN, TX, VA, WV)",Asteraceae,"Annual, Biennial",L48(N),,,
QUERC,,Quercus,NA (L48),"CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Fagaceae,,"L48(I,N)CAN(I,N)",,,
QUBU,,Quercus Ã—bushii,NA (L48),"USA(AL, AR, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA)",Fagaceae,Perennial,L48(N),,,
QUCO4,,Quercus Ã—columnaris,NA (L48),USA(IL),Fagaceae,Perennial,L48(N),,,
QUEX,,Quercus Ã—exacta,NA (L48),"USA(IA, IL, IN, MO, OH, PA)",Fagaceae,Perennial,L48(N),,,
QUFE2,,Quercus Ã—fernowii,NA (L48),"USA(AL, AR, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, NC, NJ, NY, SC, TX, VA)",Fagaceae,Perennial,L48(N),,,
QUFI,,Quercus Ã—filialis,NA (L48),"USA(AR, DE, IL, LA, MO, MS, NJ, NY)",Fagaceae,Perennial,L48(N),,,
QUHU,,Quercus Ã—humidicola,NA (L48),"USA(AR, IL, KY, MO)",Fagaceae,Perennial,L48(N),,,
QULE,,Quercus Ã—leana,NA (L48),"USA(AR, DC, IA, IL, IN, KY, MD, MI, MO, NC, OH, PA, SC, TN, VT, WV)",Fagaceae,Perennial,L48(N),,,
QULU,,Quercus Ã—ludoviciana,NA (L48),"USA(AL, AR, GA, IL, KY, LA, MO, MS, NC, NJ, SC, TX, VA)",Fagaceae,Perennial,L48(N),,,
QUPA3,,Quercus Ã—palmeriana,NA (L48),"USA(IL, MO, NC, NM, OH)",Fagaceae,Perennial,L48(N),,,
QURU3,,Quercus Ã—runcinata,NA (L48),"USA(IL, IN, KY, MD, MI, MO, NC, OH, PA)",Fagaceae,Perennial,L48(N),,,
QUSC,,Quercus Ã—schochiana,NA (L48),"USA(AR, IL, KY)",Fagaceae,Perennial,L48(N),,,
QUSU6,,Quercus Ã—subfalcata,NA (L48),"USA(AR, DE, IL, LA, MD, MS, SC, TX)",Fagaceae,Perennial,L48(N),,,
QUTR,,Quercus Ã—tridentata,NA (L48),"USA(IL, IN, MO, OH, PA)",Fagaceae,Perennial,L48(N),,,
QUCO2,,Quercus coccinea,NA (L48),"USA(AL, AR, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
QUCOC,,Quercus coccinea var. coccinea,NA (L48),"USA(AL, AR, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Fagaceae,Perennial,L48(N),,,
QUCOT,,Quercus coccinea var. tuberculata,NA (L48),"USA(AL, GA, IL, IN, MA, MO, MS, OH, TN)",Fagaceae,Perennial,L48(N),,,
QUFA,,Quercus falcata,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
QUIM,,Quercus imbricaria,NA (L48),"USA(AL, AR, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, TN, VA, WV)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Late Spring
QULY,,Quercus lyrata,NA (L48),"USA(AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
QUMA3,,Quercus marilandica,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
QUMAM2,,Quercus marilandica var. marilandica,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Fagaceae,Perennial,L48(N),,,
QUMI,,Quercus michauxii,NA (L48),"USA(AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
QUMO4,,Quercus montana,NA (L48),"USA(AL, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, ME, MI, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV)",Fagaceae,Perennial,L48(N),,,
QUNI,,Quercus nigra,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
QUPA5,,Quercus pagoda,NA (L48),"USA(AL, AR, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
QUPH,,Quercus phellos,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
QUSHS3,,Quercus shumardii var. stenocarpa,NA (L48),USA(IL),Fagaceae,Perennial,L48(N),,,
QUST,,Quercus stellata,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Early Spring
QUTE,,Quercus texana,NA (L48),"USA(AL, AR, IL, KY, LA, MO, MS, OK, TN, TX)",Fagaceae,Perennial,L48(N),Spring and Summer,No,Early Spring
RANUN,,Ranunculus,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA+(PR)",Ranunculaceae,,"L48(I,N)CAN(I,N)SPM(I,N)",,,
RAAM,,Ranunculus ambigens,NA (L48),"USA(AL, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, WV)",Ranunculaceae,Perennial,L48(N),,,
RAHA,,Ranunculus harveyi,NA (L48),"USA(AL, AR, IL, IN, KY, LA, MO, OK, TN)",Ranunculaceae,Perennial,L48(N),,,
RALA2,,Ranunculus laxicaulis,NA (L48),"USA(AL, AR, DE, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Ranunculaceae,"Annual, Perennial",L48(N),Spring and Summer,No,Late Spring
RALO2,,Ranunculus longirostris,"GL (L48, GL)","USA(AL, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, VT, WA, WI, WY)",Ranunculaceae,Perennial,L48(N)CAN(N)GL(N),Spring and Summer,No,Late Spring
RAMI2,,Ranunculus micranthus,NA (L48),"USA(AL, AR, CT, DC, GA, IL, IN, KS, KY, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SD, TN, VA, WV)",Ranunculaceae,Perennial,L48(N),,,
RAPU,,Ranunculus pusillus,NA (L48),"USA(AL, AR, CA, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Ranunculaceae,Annual,L48(N),,,
RAPUP,,Ranunculus pusillus var. pusillus,NA (L48),"USA(AL, AR, CA, DC, DE, FL, GA, IL, IN, KY, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Ranunculaceae,Annual,L48(N),,,
RATIB,,Ratibida,NA (L48),"CAN(AB, BC, MB, ON, SK), USA(AL, AR, AZ, CA, CO, CT, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY)",Asteraceae,,L48(N)CAN(N),,,
REDFI,,Redfieldia,NA (L48),"USA(AZ, CO, IL, KS, MT, ND, NE, NM, OK, SD, TX, UT, WY)",Poaceae,,L48(N),,,
REFL,,Redfieldia flexuosa,NA (L48),"USA(AZ, CO, IL, KS, MT, ND, NE, NM, OK, SD, TX, UT, WY)",Poaceae,Perennial,L48(N),,,
RHAMN,,Rhamnus,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Rhamnaceae,,"L48(I,N)CAN(I,N)",,,
RHLA,,Rhamnus lanceolata,NA (L48),"USA(AL, AR, IA, IL, IN, KS, KY, LA, MD, MO, MS, NE, OH, OK, PA, SD, TN, TX, VA, WI, WV)",Rhamnaceae,Perennial,L48(N),,,
RHLAG2,,Rhamnus lanceolata ssp. glabrata,NA (L48),"USA(AL, AR, IA, IL, IN, KS, KY, LA, MO, MS, NE, OH, OK, SD, TN, TX, VA, WI)",Rhamnaceae,Perennial,L48(N),,,
RHLAL3,,Rhamnus lanceolata ssp. lanceolata,NA (L48),"USA(AL, IA, IL, IN, KY, MD, MO, OH, PA, TN, VA, WI, WV)",Rhamnaceae,Perennial,L48(N),,,
RHEXI,,Rhexia,NA (L48),"CAN(NS, ON), USA+(PR), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Melastomataceae,,L48(N)CAN(N),,,
RHMA,,Rhexia mariana,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA, WV)",Melastomataceae,Perennial,L48(N),,,
RHMAI,,Rhexia mariana var. interior,NA (L48),"USA(AL, AR, IL, IN, KS, KY, LA, MO, MS, OK, TN, TX)",Melastomataceae,Perennial,L48(N),,,
RHMAM2,,Rhexia mariana var. mariana,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA, WV)",Melastomataceae,Perennial,L48(N),,,
RHODO,,Rhododendron,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, ID, IL, KY, LA, MA, MD, ME, MO, MS, MT, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV)",Ericaceae,,"L48(I,N)CAN(N)GL(N)SPM(N)",,,
RHPE4,,Rhododendron periclymenoides,NA (L48),"USA(AL, CT, DC, DE, GA, IL, KY, MA, MD, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV)",Ericaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
RHPR,,Rhododendron prinophyllum,NA (L48),"USA(AL, AR, CT, GA, IL, KY, MA, MD, ME, MO, NC, NH, NJ, NY, OH, OK, PA, RI, TN, TX, VA, VT, WV)",Ericaceae,Perennial,L48(N),,,
RHUS,,Rhus,"NA (L48, PB)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Anacardiaceae,,"L48(I,N)CAN(N)",,,
RHARA,,Rhus aromatica var. arenaria,NA (L48),"USA(IL, IN, OH)",Anacardiaceae,Perennial,L48(N),,,
RHARS,,Rhus aromatica var. serotina,NA (L48),"USA(AR, IA, IL, KS, MO, NE, OK, SD, TX, WI)",Anacardiaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
RHYNC3,,Rhynchospora,"NA (L48, PB)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA(SB), USA+(PR, VI), USA(AK, AL, AR, CA, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)",Cyperaceae,,"L48(I,N)CAN(N)SPM(N)",,,
RHCO2,,Rhynchospora corniculata,NA (L48),"USA(AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",Cyperaceae,Perennial,L48(N),Summer,No,Late Spring
RHGL3,,Rhynchospora glomerata,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MS, NC, NJ, OK, SC, TN, TX, VA)",Cyperaceae,Perennial,L48(N),,,
RHMA6,,Rhynchospora macrostachya,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NJ, NY, OK, RI, SC, TN, TX, VA, VT)",Cyperaceae,Perennial,L48(N),,,
RHRE8,,Rhynchospora recognita,"NA (L48), HI, PR","USA+(PR), USA(AL, AR, CA, DC, DE, FL, GA, HI, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Cyperaceae,Perennial,L48(N)HI(I)PR(N),,,
RIBES,,Ribes,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Grossulariaceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
ROBIN,,Robinia,NA (L48),"CAN(BC, NB, NS, ON, PE, QC), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Fabaceae,,L48(N)CAN(I),,,
RORIP,,Rorippa,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA+(PR, VI)",Brassicaceae,,"L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)",,,
ROSE,,Rorippa sessiliflora,NA (L48),"USA(AL, AR, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MN, MO, MS, NC, NE, OH, OK, SC, SD, TN, TX, VA, WI, WV)",Brassicaceae,Annual,L48(N),"Spring, Summer, Fall",No,Indeterminate
ROSA5,,Rosa,"NA (L48, PB)","CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA+(PR), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Rosaceae,,"L48(I,N)CAN(I,N)SPM(I,N)",,,
RORU3,,Rosa Ã—rudiuscula,NA (L48),"USA(IA, IL, IN, MO, OH, OK, WI)",Rosaceae,Perennial,L48(N),,,
ROTAL,,Rotala,NA (L48),"CAN(BC, ON), USA+(PR), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, WA, WI, WV)",Lythraceae,,"L48(I,N)CAN(N)",,,
RUBUS,,Rubus,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA+(PR)",Rosaceae,,"L48(I,N)CAN(I,N)GL(N)SPM(N)",,,
RUAB,,Rubus aboriginum,NA (L48),"USA(AL, AR, CA, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, OH, OK, SC, TN, TX, VA, WV)",Rosaceae,Perennial,L48(N),,,
RUAL9,,Rubus alumnus,NA (L48),"USA(AR, CT, DC, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, TN, VA, WI, WV)",Rosaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
RUAR2,,Rubus argutus,"NA (L48), HI","USA(AL, AR, CT, DE, FL, GA, HI, IL, IN, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)",Rosaceae,Perennial,L48(N)HI(I),Spring,No,Spring
RUBA2,,Rubus baileyanus,NA (L48),"USA(CT, DC, IL, IN, KY, MA, MD, MI, MN, MO, NC, NJ, NY, OH, PA, RI, TN, VA, WI, WV)",Rosaceae,Perennial,L48(N),Spring and Summer,No,Mid Spring
RUBE,,Rubus bellobatus,NA (L48),"USA(IA, IL, IN, KS, KY, ME, MI, MN, MO, NJ, NY, OH, PA, VA, VT, WI, WV)",Rosaceae,Perennial,L48(N),,,
RUFE,,Rubus fecundus,NA (L48),"USA(AL, DC, IA, IL, IN, KY, MD, MI, MO, NY, OH, PA, SC, TN, VA, WI, WV)",Rosaceae,Perennial,L48(N),,,
RUIM2,,Rubus impar,NA (L48),"USA(IL, IN, MO)",Rosaceae,Perennial,L48(N),,,
RUIT,,Rubus ithacanus,NA (L48),"USA(IA, IL, IN, MI, MN, MO, NY, PA, WI)",Rosaceae,Perennial,L48(N),,,
RULA6,,Rubus laudatus,NA (L48),"USA(AL, DC, GA, IA, IL, IN, KY, MD, MN, MO, NC, NJ, NY, OH, PA, SC, TN, VA, WI, WV)",Rosaceae,Perennial,L48(N),,,
RUME3,,Rubus meracus,NA (L48),"USA(AR, IA, IL, IN, KY, MI, MO, OH, PA, TN, WI)",Rosaceae,Perennial,L48(N),,,
RUMI4,,Rubus missouricus,NA (L48),"USA(IA, IL, IN, MD, MI, MN, MO, VA, WI, WV)",Rosaceae,Perennial,L48(N),,,
RUMU2,,Rubus multifer,NA (L48),"USA(CT, DC, IL, IN, MA, MD, ME, MN, NH, NY, OH, PA, RI, VA, VT, WI, WV)",Rosaceae,Perennial,L48(N),,,
RUMU5,,Rubus mundus,NA (L48),"USA(IL, IN, KY, MO)",Rosaceae,Perennial,L48(N),,,
RUPE6,,Rubus pergratus,NA (L48),"USA(CT, IA, IL, IN, MA, ME, MI, MN, NH, NJ, NY, OH, PA, VA, VT, WI, WV)",Rosaceae,Perennial,L48(N),,,
RUPU4,,Rubus pubifolius,NA (L48),"USA(AR, IL, IN, MO)",Rosaceae,Perennial,L48(N),,,
RURE,,Rubus recurvans,NA (L48),"USA(CT, IA, IL, IN, MA, MD, ME, MI, MN, MO, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV)",Rosaceae,Perennial,L48(N),,,
RURO3,,Rubus rosa,NA (L48),"USA(CT, IA, IL, IN, MA, MD, ME, MI, MN, MO, NC, NH, NY, OH, PA, VT, WI, WV)",Rosaceae,Perennial,L48(N),,,
RUSE3,,Rubus semisetosus,NA (L48),"USA(CT, IA, IL, MA, ME, MI, MN, NH, NJ, NY, PA, RI, VT, WI)",Rosaceae,Perennial,L48(N),,,
RUST5,,Rubus steelei,NA (L48),"USA(DC, IA, IL, IN, KY, MD, MI, MN, MO, NC, PA, VA, WI, WV)",Rosaceae,Perennial,L48(N),,,
RUTR,,Rubus trivialis,NA (L48),"USA(AL, AR, FL, GA, IL, KS, KY, LA, MD, MO, MS, NC, OH, OK, PA, SC, TN, TX, VA, WV)",Rosaceae,Perennial,L48(N),,,
RUWH2,,Rubus wheeleri,NA (L48),"USA(IA, IL, IN, ME, MI, MN, NY, PA, WI)",Rosaceae,Perennial,L48(N),,,
RUWI,,Rubus wisconsinensis,NA (L48),"USA(IA, IL, MI, MN, WI)",Rosaceae,Perennial,L48(N),,,
RUDBE,,Rudbeckia,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Asteraceae,,"L48(N)CAN(I,N)",,,
RUFUD,,Rudbeckia fulgida var. deamii,NA (L48),"USA(IL, IN, OH)",Asteraceae,Perennial,L48(N),,,
RUFUF,,Rudbeckia fulgida var. fulgida,NA (L48),"USA(AL, DC, DE, FL, GA, IL, IN, KY, MD, MO, NC, NJ, NY, OH, PA, SC, TN, VA, WV)",Asteraceae,Perennial,L48(N),,,
RUMI,,Rudbeckia missouriensis,NA (L48),"USA(AR, IL, KY, LA, MO, OK, TX)",Asteraceae,Perennial,L48(N),,,
